state_name,year,average_labor_force,average_employed,average_unemployed,average_unemployment_rate
Mississippi,1979,12487.878048780487,11768.426829268292,719.4512195121952,6.2682926829268295
Mississippi,1980,12951.317073170732,11975.658536585366,975.6585365853658,8.075609756097561
Mississippi,1981,12914.756097560976,11841.524390243903,1073.2317073170732,8.958536585365854
Mississippi,1982,12987.890243902439,11561.012195121952,1426.878048780488,12.33780487804878
Mississippi,1983,13024.475609756097,11378.109756097561,1646.3658536585365,13.658536585365853
Mississippi,1984,13097.609756097561,11682.939024390244,1414.6707317073171,12.03170731707317
Mississippi,1985,13658.609756097561,12256.134146341463,1402.4756097560976,12.082926829268292
Mississippi,1986,14085.378048780487,12439.048780487805,1646.3292682926829,13.97439024390244
Mississippi,1987,14048.817073170732,12621.975609756097,1426.841463414634,12.046341463414635
Mississippi,1988,13926.90243902439,12756.134146341463,1170.7682926829268,10.057317073170731
Mississippi,1989,14231.768292682927,13121.975609756097,1109.7926829268292,9.428048780487805
Missouri,1976,18547.921739130434,17391.35652173913,1156.5652173913043,5.549565217391304
Missouri,1977,19356.634782608697,18217.452173913043,1139.182608695652,5.630434782608695
Missouri,1978,19608.75652173913,18617.38260869565,991.3739130434783,5.3191304347826085
Missouri,1979,19895.704347826086,18991.339130434782,904.3652173913043,4.679130434782609
Missouri,1980,20078.217391304348,18626.078260869566,1452.1391304347826,7.667826086956522
Missouri,1981,20147.97391304348,18600.069565217393,1547.904347826087,7.981739130434782
Missouri,1982,20069.660869565218,18217.434782608696,1852.2260869565218,10.10695652173913
Missouri,1983,20443.547826086957,18417.452173913043,2026.095652173913,10.80695652173913
Missouri,1984,20687.043478260868,19191.38260869565,1495.6608695652174,8.400869565217391
Missouri,1985,21495.704347826086,20113.078260869566,1382.6260869565217,7.6695652173913045
Missouri,1986,22104.408695652175,20756.521739130436,1347.8869565217392,7.3417391304347825
Missouri,1987,22521.8,21095.66956521739,1426.1304347826087,7.333913043478261
Missouri,1988,22556.55652173913,21269.573913043478,1286.982608695652,6.7095652173913045
Missouri,1989,22730.539130434783,21487.02608695652,1243.513043478261,6.440869565217391
Montana,1976,5964.428571428572,5607.25,357.17857142857144,5.171428571428572
Montana,1977,6196.535714285715,5803.589285714285,392.94642857142856,5.755357142857143
Montana,1978,6607.25,6214.357142857143,392.89285714285717,5.376785714285714
Montana,1979,6625.125,6285.767857142857,339.35714285714283,4.555357142857143
Montana,1980,6607.267857142857,6196.482142857143,410.7857142857143,5.326785714285714
Montana,1981,6857.25,6375.035714285715,482.2142857142857,5.855357142857143
Montana,1982,7018,6410.732142857143,607.2678571428571,8.125
Montana,1983,7035.732142857143,6410.714285714285,625.0178571428571,8.553571428571429
Montana,1984,7250.160714285715,6714.321428571428,535.8392857142857,7.082142857142857
Montana,1985,7232.25,6678.607142857143,553.6428571428571,7.426785714285714
Montana,1986,7267.910714285715,6678.589285714285,589.3214285714286,8.04642857142857
Montana,1987,7196.482142857143,6660.714285714285,535.7678571428571,7.082142857142857
Montana,1988,7178.696428571428,6696.517857142857,482.17857142857144,6.244642857142857
Montana,1989,7232.25,6803.607142857143,428.64285714285717,5.889285714285714
Nebraska,1976,7677.5268817204305,7419.408602150537,258.1182795698925,2.621505376344086
Nebraska,1977,8032.344086021505,7731.279569892473,301.06451612903226,2.9064516129032256
Nebraska,1978,8249.602150537634,7978.548387096775,271.0537634408602,2.8591397849462363
Nebraska,1979,8236.440860215054,7967.258064516129,269.18279569892474,2.421505376344086
Nebraska,1980,8204.376344086022,7871.010752688172,333.36559139784947,3.531182795698925
Nebraska,1981,8354.978494623656,8010.8279569892475,344.1505376344086,3.3268817204301073
Nebraska,1982,8483.989247311827,7967.817204301075,516.1720430107526,4.924731182795699
Nebraska,1983,8473.225806451614,7989.344086021505,483.8817204301075,5.364516129032258
Nebraska,1984,8580.698924731183,8204.31182795699,376.38709677419354,4.489247311827957
Nebraska,1985,8731.258064516129,8258.10752688172,473.1505376344086,5.436559139784946
Nebraska,1986,8741.989247311827,8301.09677419355,440.89247311827955,5.140860215053763
Nebraska,1987,8731.236559139785,8301.10752688172,430.1290322580645,4.927956989247312
Nebraska,1988,8795.860215053763,8483.956989247312,311.9032258064516,3.465591397849462
Nebraska,1989,8731.225806451614,8462.387096774193,268.83870967741933,2.9806451612903224
Nevada,1976,19235.29411764706,17529.529411764706,1705.764705882353,8.429411764705883
